2.852295525372028351e-03,-2.116870880126953125e-02,8.207980990409851074e-01,-3.108256123960018158e-02,3.120717406272888184e-02,7.043600678443908691e-01,7.084749937057495117e-01,-1.240024864673614502e-01,1.571522802114486694e-01,3.101552724838256836e-01,3.035572469234466553e-01,-2.228501588106155396e-01,3.240795060992240906e-02,-2.151651978492736816e-01,-9.497439861297607422e-02,-1.360580027103424072e-01,3.820271193981170654e-01,-1.595658361911773682e-01,3.153528645634651184e-02,-2.582289278507232666e-01,-2.445702552795410156e-01,7.246726155281066895e-01,-6.217272877693176270e-01,8.058351278305053711e-01,2.355809509754180908e-01,2.860191278159618378e-02,-4.792311787605285645e-01,4.808512032032012939e-01,1.186946749687194824e+00,-2.097185105085372925e-01
5.250595044344663620e-03,-2.199642173945903778e-02,8.217443823814392090e-01,-3.160643205046653748e-02,3.410565853118896484e-02,7.048304677009582520e-01,7.078501582145690918e-01,-1.284670531749725342e-01,1.537809520959854126e-01,3.029707372188568115e-01,2.963326275348663330e-01,-2.109959572553634644e-01,2.037643082439899445e-02,-2.189305871725082397e-01,-9.667494893074035645e-02,-1.432188153266906738e-01,3.770949542522430420e-01,-1.557340025901794434e-01,2.688133157789707184e-02,-2.569437325000762939e-01,-2.705949544906616211e-01,7.226728796958923340e-01,-6.438107490539550781e-01,8.167728185653686523e-01,2.220251113176345825e-01,2.163411118090152740e-02,-4.730893075466156006e-01,4.726832509040832520e-01,1.216701745986938477e+00,-2.124008685350418091e-01
7.419820874929428101e-03,-2.268322557210922241e-02,8.227295875549316406e-01,-3.174282982945442200e-02,3.580440580844879150e-02,7.051994800567626953e-01,7.073925137519836426e-01,-1.330215483903884888e-01,1.519751548767089844e-01,2.918419837951660156e-01,2.946113049983978271e-01,-1.979647725820541382e-01,1.111127715557813644e-02,-2.197704315185546875e-01,-9.566956758499145508e-02,-1.438609510660171509e-01,3.697423040866851807e-01,-1.494524925947189331e-01,2.393041923642158508e-02,-2.523919045925140381e-01,-2.824135124683380127e-01,7.249583601951599121e-01,-6.589784622192382812e-01,8.093647360801696777e-01,2.087166309356689453e-01,1.547413412481546402e-02,-4.766320586204528809e-01,4.668470025062561035e-01,1.226718187332153320e+00,-2.105079293251037598e-01
1.045917160809040070e-02,-2.504602074623107910e-02,8.233744502067565918e-01,-2.999432012438774109e-02,3.725713118910789490e-02,7.049109339714050293e-01,7.076812982559204102e-01,-1.410012990236282349e-01,1.503455936908721924e-01,2.779799699783325195e-01,3.041048049926757812e-01,-1.832273006439208984e-01,-5.288968328386545181e-03,-2.233928143978118896e-01,-9.483423829078674316e-02,-1.386106610298156738e-01,3.690328598022460938e-01,-1.459353864192962646e-01,1.997712813317775726e-02,-2.452176958322525024e-01,-2.913506329059600830e-01,7.340793013572692871e-01,-6.673297882080078125e-01,7.870543003082275391e-01,1.963934153318405151e-01,4.868286196142435074e-03,-4.807808101177215576e-01,4.580615758895874023e-01,1.226441144943237305e+00,-1.995734125375747681e-01
1.307019032537937164e-02,-2.734974585473537445e-02,8.230676054954528809e-01,-2.868434041738510132e-02,3.809855878353118896e-02,7.059397697448730469e-01,7.066645026206970215e-01,-1.486398130655288696e-01,1.490931957960128784e-01,2.566331624984741211e-01,3.193024098873138428e-01,-1.855046004056930542e-01,-2.031844854354858398e-02,-2.285432815551757812e-01,-9.565598517656326294e-02,-1.395858079195022583e-01,3.752008676528930664e-01,-1.457857340574264526e-01,2.282462082803249359e-02,-2.344941794872283936e-01,-3.027601242065429688e-01,7.435890436172485352e-01,-6.789108514785766602e-01,7.661627531051635742e-01,1.874514222145080566e-01,-1.376952696591615677e-02,-4.927098453044891357e-01,4.552734792232513428e-01,1.220909953117370605e+00,-1.899467110633850098e-01
1.447494421154260635e-02,-2.738787792623043060e-02,8.218249082565307617e-01,-2.678217738866806030e-02,3.913599252700805664e-02,7.075271010398864746e-01,7.050932049751281738e-01,-1.587438881397247314e-01,1.535475999116897583e-01,2.441617399454116821e-01,3.600288629531860352e-01,-1.969803869724273682e-01,-2.353184856474399567e-02,-2.358403503894805908e-01,-1.011274904012680054e-01,-1.406926661729812622e-01,3.957486748695373535e-01,-1.556198596954345703e-01,2.633747272193431854e-02,-2.228311747312545776e-01,-3.139157593250274658e-01,7.517217993736267090e-01,-6.884641051292419434e-01,7.403311133384704590e-01,1.834314167499542236e-01,-3.707070276141166687e-02,-5.048276782035827637e-01,4.557684957981109619e-01,1.210657119750976562e+00,-1.876939982175827026e-01
1.594903506338596344e-02,-2.624803036451339722e-02,8.189054727554321289e-01,-2.657986246049404144e-02,4.125197231769561768e-02,7.108877301216125488e-01,7.015913724899291992e-01,-1.803450882434844971e-01,1.704573631286621094e-01,2.456739097833633423e-01,4.257343113422393799e-01,-2.154855877161026001e-01,-1.871604099869728088e-02,-2.507720291614532471e-01,-1.100685223937034607e-01,-1.507619470357894897e-01,4.303462207317352295e-01,-1.784068197011947632e-01,2.436710149049758911e-02,-2.136200666427612305e-01,-3.225268423557281494e-01,7.590541839599609375e-01,-6.926341056823730469e-01,7.219507098197937012e-01,1.736617982387542725e-01,-7.841956615447998047e-02,-5.240272879600524902e-01,4.509368240833282471e-01,1.202460646629333496e+00,-1.865044981241226196e-01
1.788746006786823273e-02,-2.461880818009376526e-02,8.145526051521301270e-01,-2.569052577018737793e-02,4.153010621666908264e-02,7.142118215560913086e-01,6.982239484786987305e-01,-2.038628756999969482e-01,1.956914216279983521e-01,2.405390143394470215e-01,5.105630159378051758e-01,-2.561310231685638428e-01,-3.613697597756981850e-03,-2.668956816196441650e-01,-1.187624558806419373e-01,-1.644879728555679321e-01,4.802101552486419678e-01,-2.086669504642486572e-01,2.432436868548393250e-02,-1.964054554700851440e-01,-3.244458436965942383e-01,7.648341655731201172e-01,-6.927166581153869629e-01,7.038695216178894043e-01,1.743932813405990601e-01,-1.158398985862731934e-01,-5.481787919998168945e-01,4.488093554973602295e-01,1.186952233314514160e+00,-1.814617961645126343e-01
1.991749554872512817e-02,-2.528770826756954193e-02,8.093684315681457520e-01,-2.381247654557228088e-02,3.950237110257148743e-02,7.175213098526000977e-01,6.950076818466186523e-01,-2.245508730411529541e-01,2.159952521324157715e-01,2.301009297370910645e-01,5.869360566139221191e-01,-2.876707315444946289e-01,8.172629401087760925e-03,-2.793897092342376709e-01,-1.251882314682006836e-01,-1.773383170366287231e-01,5.262518525123596191e-01,-2.393142879009246826e-01,2.191632799804210663e-02,-1.800595968961715698e-01,-3.125260174274444580e-01,7.590299248695373535e-01,-6.745446324348449707e-01,6.968243718147277832e-01,1.762924194335937500e-01,-1.514512002468109131e-01,-5.688516497611999512e-01,4.424153268337249756e-01,1.178222656250000000e+00,-1.898141652345657349e-01
2.203321270644664764e-02,-2.573422342538833618e-02,8.038708567619323730e-01,-2.315419726073741913e-02,3.639977052807807922e-02,7.210155725479125977e-01,6.915746927261352539e-01,-2.411759346723556519e-01,2.318856865167617798e-01,2.171359658241271973e-01,6.442908644676208496e-01,-3.245507478713989258e-01,1.515876781195402145e-02,-2.863124310970306396e-01,-1.279160380363464355e-01,-1.932684928178787231e-01,5.626650452613830566e-01,-2.739579081535339355e-01,1.808687672019004822e-02,-1.620067507028579712e-01,-2.900916635990142822e-01,7.428520917892456055e-01,-6.426030397415161133e-01,6.976246833801269531e-01,1.735357344150543213e-01,-1.850240677595138550e-01,-5.893670916557312012e-01,4.305280447006225586e-01,1.174796223640441895e+00,-1.874776184558868408e-01
2.442158199846744537e-02,-2.772705443203449249e-02,7.994930148124694824e-01,-1.996054686605930328e-02,3.175184875726699829e-02,7.227435111999511719e-01,6.900979876518249512e-01,-2.457464635372161865e-01,2.345477938652038574e-01,1.930287629365921021e-01,6.793853044509887695e-01,-3.558696210384368896e-01,2.057046256959438324e-02,-2.866408228874206543e-01,-1.302686631679534912e-01,-2.076692134141921997e-01,5.913744568824768066e-01,-2.989546656608581543e-01,1.920826360583305359e-02,-1.366598606109619141e-01,-2.639158964157104492e-01,7.194061279296875000e-01,-6.082347035408020020e-01,7.160168886184692383e-01,1.773304343223571777e-01,-2.199410498142242432e-01,-6.144980192184448242e-01,4.196422398090362549e-01,1.171032905578613281e+00,-1.948659867048263550e-01
2.413643337786197662e-02,-2.645379491150379181e-02,7.967882752418518066e-01,-1.933015882968902588e-02,2.958003059029579163e-02,7.232816815376281738e-01,6.896484494209289551e-01,-2.437916100025177002e-01,2.365573644638061523e-01,1.883815824985504150e-01,6.892345547676086426e-01,-3.778821229934692383e-01,2.782809734344482422e-02,-2.838663458824157715e-01,-1.348617523908615112e-01,-2.218932956457138062e-01,6.050203442573547363e-01,-3.175033032894134521e-01,1.922628656029701233e-02,-1.163177341222763062e-01,-2.286135703325271606e-01,6.955817937850952148e-01,-5.825020074844360352e-01,7.432270050048828125e-01,1.772252321243286133e-01,-2.514734566211700439e-01,-6.328060030937194824e-01,4.070988595485687256e-01,1.158367753028869629e+00,-1.890094280242919922e-01
2.318250201642513275e-02,-2.508812583982944489e-02,7.962163686752319336e-01,-1.889974810183048248e-02,2.910887822508811951e-02,7.245336771011352539e-01,6.883650422096252441e-01,-2.415028214454650879e-01,2.284061908721923828e-01,1.747532486915588379e-01,6.873701810836791992e-01,-3.852094411849975586e-01,3.319116309285163879e-02,-2.740499377250671387e-01,-1.395212411880493164e-01,-2.325479388236999512e-01,5.970103144645690918e-01,-3.288121223449707031e-01,1.857450418174266815e-02,-8.398512750864028931e-02,-1.816680431365966797e-01,6.535776853561401367e-01,-5.477142930030822754e-01,8.114232420921325684e-01,1.800244152545928955e-01,-2.848256230354309082e-01,-6.572227478027343750e-01,3.887040019035339355e-01,1.155403494834899902e+00,-1.737294197082519531e-01
